,Title,Published_date,Views,Likes,Comments,month
0,Moving On,2024-04-22,7295,374,84,Apr
1,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,2423,71,21,Nov
2,A Data Dream Come True,2023-11-17,2234,93,23,Nov
3,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6115,404,77,Sep
4,How to Survive a Down Data Job Market,2023-09-05,17205,568,63,Sep
5,The Harsh Reality of the Data Job Market,2023-08-24,107572,2610,293,Aug
6,7 Industries AI will Aggressively Disrupt,2023-08-14,6308,246,41,Aug
7,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4298,132,48,Aug
8,7 Enticing Jobs AI Will Create,2023-07-24,4765,199,37,Jul
9,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4136,144,31,Jul
10,Exciting Announcement!,2023-06-23,6678,298,50,Jun
11,AI: A Customer Service Revolution?,2023-05-26,3941,123,35,May
12,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,44654,1454,59,May
13,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,34884,1473,77,May
14,This AI question will determine our future,2023-04-06,4301,261,37,Apr
15,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71362,836,78,Apr
16,Your current portfolio is actually hurting you #shorts,2023-03-30,8481,489,7,Mar
17,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7607,405,2,Mar
18,you're job searching wrong. #shorts,2023-03-23,4443,262,3,Mar
19,The Economics of Data Roles #shorts,2023-03-21,10006,608,12,Mar
20,Why your phone knows everything you say #shorts,2023-03-18,3490,162,8,Mar
21,Read these for a successful career. #shorts,2023-03-16,3196,248,2,Mar
22,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2706,48,5,Mar
23,How I Realized I Was a Bad Manager #shorts,2023-03-07,2888,138,1,Mar
24,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20692,765,51,Mar
25,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8400,275,13,Mar
26,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2773,167,2,Feb
27,Learning On the companies dime #shorts,2023-02-24,3238,175,1,Feb
28,The Best Way to Transition to Data Science? #shorts,2023-02-21,4444,278,6,Feb
29,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7262,405,6,Feb
30,Don't Go into Data for the Money #shorts,2023-02-15,3805,220,12,Feb
31,First Data Science Project? Watch This.,2023-02-13,7743,377,24,Feb
32,How to Approach Applying for a Data Role #shorts,2023-02-08,3694,244,7,Feb
33,The Hard Reality of Data Science Work #shorts,2023-02-06,16713,887,17,Feb
34,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4842,195,6,Feb
35,These 3 Things Make Data Science Special #shorts,2023-02-01,4358,347,7,Feb
36,Will Data Science Be Automated? #shorts,2023-01-27,10316,430,9,Jan
37,Is Data Science A Good Fit For You? #shorts,2023-01-25,5180,294,11,Jan
38,5 Books I Wish I Read Earlier In My Career,2023-01-23,9624,524,50,Jan
39,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,9623,748,15,Jan
40,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6341,476,10,Jan
41,How long does it take to become a Data Scientist? #shorts,2023-01-12,7230,505,6,Jan
42,Where & how to start your Data Science Journey #shorts,2023-01-09,7066,423,2,Jan
43,How I Would NOT Learn Data Science in 2023.,2023-01-03,128532,4203,256,Jan
44,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4952,208,28,Dec
45,The Essential Programming Concepts For Learning Data Science,2022-11-14,20749,857,46,Nov
46,The Data Content House: What You Missed,2022-10-07,10569,348,49,Oct
47,Is Data Science A Good Career?,2022-09-29,63499,1972,140,Sep
48,IRON ANALYST (Teaser) #shorts,2022-09-27,5667,364,24,Sep
49,When a New Data Scientist Joins The Team,2022-08-29,16741,756,134,Aug
50,State of Data Science - Web Data,2022-08-05,10481,353,34,Aug
51,Data Science Town Hall - State of Data Science,2022-08-04,10011,367,37,Aug
52,The Programming Roadmap For Data Science,2022-07-29,28120,1317,63,Jul
53,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,91784,3313,94,Jun
54,Can AI Fix my Baseball Swing?,2022-06-10,7828,344,68,Jun
55,Every Data Scientist... (funny!),2022-05-24,17471,859,146,May
56,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,16009,426,64,May
57,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,68535,1687,85,Apr
58,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,22075,905,110,Mar
59,Data Scientists VS NFT Scam,2022-03-03,4819,189,41,Mar
60,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11346,513,144,Feb
61,What Professional Data Scientists ACTUALLY Do,2022-02-14,100150,3447,187,Feb
62,Can You Analyze My Data Better Than I Can?,2022-01-31,7498,324,60,Jan
63,Giving Back to My Most Engaged Subscribers!,2022-01-28,2338,118,87,Jan
64,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,49711,1212,140,Jan
65,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8955,426,82,Jan
66,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8616,255,33,Jan
67,The Only Data Science Explanation You Need,2022-01-10,66097,2286,172,Jan
68,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14559,647,144,Jan
69,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,344674,15015,532,Dec
70,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,15467,500,67,Dec
71,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8093,571,25,Dec
72,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,25045,1183,142,Dec
73,Why Is Data Engineering So HOT Right Now?,2021-11-26,29719,1101,137,Nov
74,Is Data Science Dying?,2021-11-19,125549,3900,360,Nov
75,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8512,399,113,Nov
76,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3645,202,44,Nov
77,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14097,307,39,Oct
78,ML Ops: What is it REALLY?,2021-10-22,7240,286,66,Oct
79,Business Skills for Data Science: What are they REALLY?,2021-10-18,6926,303,50,Oct
80,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2218,122,5,Oct
81,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6010,283,64,Oct
82,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13053,534,108,Aug
83,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10344,436,32,Aug
84,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42094,1618,32,Aug
85,How I Learned to Learn.,2021-07-31,51000,2362,209,Jul
86,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11202,609,51,Jul
87,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2466,92,30,Jul
88,Why are APIs Important for Data Science?,2021-07-09,10599,468,95,Jul
89,Is Your Phone REALLY Listening to You?,2021-07-03,5244,278,116,Jul
90,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,16895,641,123,Jun
91,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4117,225,41,Jun
92,#66DaysOfData - What is it? #shorts,2021-06-11,9481,399,54,Jun
93,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16924,1031,89,Jun
94,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7536,391,195,May
95,How Data Science Projects Pay Off,2021-05-22,11018,606,146,May
96,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10741,489,134,May
97,What is a lambda function (python)? #shorts,2021-05-13,16111,974,49,May
98,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,33823,1745,63,May
99,What is Pandas? (Data & Data Science) #shorts,2021-04-30,25082,1290,85,Apr
100,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77691,3438,284,Apr
101,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23652,696,85,Apr
102,Why You Probably Won't Become a Data Scientist,2021-04-09,139067,4040,474,Apr
103,How to Go From Data Analyst to Data Scientist,2021-04-02,55242,1571,178,Apr
104,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4023,139,92,Mar
105,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18790,361,108,Mar
106,My Regrets as a Data Science Student,2021-03-12,24062,881,112,Mar
107,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3852,195,83,Mar
108,What is the Future of my Comment Leaderboard Project?,2021-02-26,5609,201,81,Feb
109,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,7007,176,51,Feb
110,Why I Quit Data Science,2021-02-12,105438,2351,347,Feb
111,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10815,560,116,Jan
112,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7037,293,126,Jan
113,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10178,310,52,Jan
114,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,23822,707,134,Jan
115,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,39774,1165,148,Jan
116,What is the #66DaysOfData?,2020-12-26,70882,2337,200,Dec
117,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131760,5952,488,Dec
118,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11142,402,133,Dec
119,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23764,724,324,Dec
120,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28721,872,160,Nov
121,6 Lessons from #66DaysOfData,2020-11-13,6778,338,93,Nov
122,100K Channel Update + AMA Stream!,2020-11-12,2322,126,22,Nov
123,Find a Data Science Project With These 3 Techniques,2020-11-06,17064,733,106,Nov
124,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,28223,691,155,Oct
125,git for Data Science Made Simple... (Hopefully),2020-10-23,21523,913,90,Oct
126,The PODCAST you might have asked for?,2020-10-19,2128,93,44,Oct
